production_id,date,shift,production_line,machine,product,operator_count,target_qty,actual_qty,good_qty,reject_qty,downtime_min,planned_time_min,cycle_time,defect_type,downtime_reason
119,2026-01-02,Evening,L1,M2,PRODUCT_C,4,1028,1062,1052,10,94,480,0.59,No Defect,Material Shortage
120,2026-01-01,Morning,L1,M4,PRODUCT_C,5,941,1062,1052,10,14,480,0.71,Scratch,Maintenance
121,2026-04-30,Evening,L2,M2,PRODUCT_A,6,1039,1062,1052,10,85,480,0.36,No Defect,
122,2026-04-29,Evening,L1,M3,PRODUCT_A,4,1013,1062,1052,10,57,480,0.35,No Defect,
123,2026-04-28,Evening,L2,M3,PRODUCT_B,8,963,1062,1052,10,80,480,0.6,Color Defect,Setup/Changeover
124,2026-04-27,Evening,L3,M4,PRODUCT_B,4,1105,1062,1052,10,102,480,0.41,No Defect,Machine Breakdown
125,2026-04-26,Evening,L1,M6,PRODUCT_A,7,1020,1062,1052,10,85,480,0.45,No Defect,Machine Breakdown
126,2026-04-25,Evening,L2,M5,PRODUCT_C,6,1090,1062,1052,10,87,480,0.62,Surface Defect,Setup/Changeover
127,2026-04-24,Evening,L3,M6,PRODUCT_B,4,1051,1062,1052,10,17,480,0.72,No Defect,Material Shortage
128,2026-04-23,Evening,L2,M2,PRODUCT_B,8,1046,1062,1052,10,59,480,0.69,No Defect,Setup/Changeover
129,2026-04-22,Evening,L1,M3,PRODUCT_C,7,947,1062,1052,10,92,480,0.46,Dimension Error,Material Shortage
130,2026-04-21,Evening,L2,M5,PRODUCT_B,5,936,1062,1052,10,81,480,0.73,No Defect,Material Shortage
131,2026-04-20,Evening,L2,M5,PRODUCT_A,5,1132,1062,1052,10,110,480,0.44,No Defect,Setup/Changeover
132,2026-04-19,Evening,L3,M1,PRODUCT_B,7,1150,1062,1052,10,116,480,0.49,Scratch,Maintenance
133,2026-04-18,Evening,L2,M3,PRODUCT_B,8,975,1062,1052,10,94,480,0.38,No Defect,Machine Breakdown
134,2026-04-17,Evening,L3,M3,PRODUCT_A,6,954,1062,1052,10,54,480,0.55,No Defect,Machine Breakdown
135,2026-04-16,Evening,L3,M1,PRODUCT_A,8,972,1062,1052,10,74,480,0.43,Color Defect,Machine Breakdown
136,2026-04-15,Evening,L1,M1,PRODUCT_B,6,1073,1062,1052,10,35,480,0.54,No Defect,Maintenance
137,2026-04-14,Evening,L3,M2,PRODUCT_C,4,951,1062,1052,10,94,480,0.48,No Defect,Material Shortage
138,2026-04-13,Evening,L1,M5,PRODUCT_C,6,1090,1062,1052,10,51,480,0.79,Surface Defect,Maintenance
139,2026-04-12,Evening,L3,M6,PRODUCT_B,7,1179,1062,1052,10,40,480,0.62,No Defect,Material Shortage
140,2026-04-11,Evening,L3,M4,PRODUCT_B,6,951,1062,1052,10,79,480,0.63,No Defect,Material Shortage
141,2026-04-10,Evening,L1,M6,PRODUCT_A,7,1074,1062,1052,10,84,480,0.62,Dimension Error,Maintenance
142,2026-04-09,Evening,L2,M5,PRODUCT_A,4,1161,1062,1052,10,13,480,0.59,No Defect,Setup/Changeover
143,2026-04-08,Morning,L3,M2,PRODUCT_C,7,1144,1062,1052,10,84,480,0.76,No Defect,
144,2026-04-07,Evening,L3,M3,PRODUCT_A,8,1174,1062,1052,10,74,480,0.42,Scratch,Machine Breakdown
145,2026-04-06,Evening,L2,M1,PRODUCT_C,8,905,1062,1052,10,42,480,0.54,No Defect,Setup/Changeover
146,2026-04-05,Evening,L3,M6,PRODUCT_A,6,965,1062,1052,10,44,480,0.77,No Defect,
147,2026-04-04,Evening,L3,M1,PRODUCT_A,8,1090,1062,1052,10,70,480,0.73,Color Defect,Material Shortage
148,2026-04-03,Evening,L2,M2,PRODUCT_B,8,915,1062,1052,10,57,480,0.79,No Defect,Material Shortage
149,2026-04-02,Evening,L2,M3,PRODUCT_B,4,996,1062,1052,10,59,480,0.46,No Defect,Maintenance
150,2026-04-01,Evening,L3,M1,PRODUCT_B,6,1200,1062,1052,10,49,480,0.7,Surface Defect,Setup/Changeover
151,2026-03-31,Evening,L1,M4,PRODUCT_C,7,1044,1062,1052,10,41,480,0.79,No Defect,Machine Breakdown
152,2026-03-30,Evening,L1,M3,PRODUCT_C,6,927,1062,1052,10,89,480,0.49,No Defect,Material Shortage
153,2026-03-29,Evening,L2,M4,PRODUCT_C,8,1061,1062,1052,10,101,480,0.59,Dimension Error,
154,2026-03-28,Evening,L3,M6,PRODUCT_C,6,1159,1062,1052,10,99,480,0.56,No Defect,Material Shortage
155,2026-03-27,Evening,L2,M6,PRODUCT_C,5,1002,1062,1052,10,74,480,0.76,No Defect,Material Shortage
156,2026-03-26,Evening,L1,M3,PRODUCT_A,7,1105,1062,1052,10,75,480,0.76,Scratch,Maintenance
157,2026-03-25,Evening,L2,M3,PRODUCT_B,8,1119,1062,1052,10,107,480,0.43,No Defect,Material Shortage
158,2026-03-24,Evening,L1,M5,PRODUCT_C,8,1007,1062,1052,10,32,480,0.77,No Defect,Machine Breakdown
159,2026-03-23,Evening,L2,M6,PRODUCT_B,5,1053,1062,1052,10,95,480,0.51,Color Defect,Material Shortage
160,2026-03-22,Evening,L3,M1,PRODUCT_A,6,1111,1062,1052,10,31,480,0.73,No Defect,
161,2026-03-21,Evening,L3,M4,PRODUCT_A,5,988,1062,1052,10,39,480,0.55,No Defect,
162,2026-03-20,Evening,L2,M4,PRODUCT_B,4,1080,1062,1052,10,71,480,0.79,Surface Defect,Material Shortage
163,2026-03-19,Evening,L2,M6,PRODUCT_C,7,958,1062,1052,10,81,480,0.65,No Defect,Setup/Changeover
164,2026-03-18,Evening,L1,M5,PRODUCT_A,7,1107,1062,1052,10,56,480,0.37,No Defect,Setup/Changeover
165,2026-03-17,Evening,L1,M6,PRODUCT_A,8,1158,1062,1052,10,91,480,0.39,Dimension Error,Maintenance
166,2026-03-16,Evening,L1,M6,PRODUCT_C,7,918,1062,1052,10,19,480,0.46,No Defect,Material Shortage
167,2026-03-15,Evening,L1,M1,PRODUCT_A,8,1023,1062,1052,10,69,480,0.55,No Defect,
168,2026-03-14,Evening,L1,M6,PRODUCT_B,7,1078,1062,1052,10,16,480,0.59,Scratch,Maintenance
169,2026-03-13,Evening,L1,M3,PRODUCT_B,5,900,1062,1052,10,12,480,0.39,No Defect,
170,2026-03-12,Evening,L2,M1,PRODUCT_B,8,1195,1062,1052,10,14,480,0.47,No Defect,Material Shortage
171,2026-03-11,Evening,L3,M6,PRODUCT_A,6,1125,1062,1052,10,40,480,0.41,Color Defect,Maintenance
172,2026-03-10,Evening,L3,M2,PRODUCT_B,6,1161,1062,1052,10,114,480,0.39,No Defect,Material Shortage
173,2026-03-09,Evening,L2,M4,PRODUCT_C,4,967,1062,1052,10,101,480,0.54,No Defect,Material Shortage
174,2026-03-08,Evening,L3,M6,PRODUCT_B,5,1136,1062,1052,10,14,480,0.73,Surface Defect,Machine Breakdown
175,2026-03-07,Evening,L3,M3,PRODUCT_A,5,991,1062,1052,10,97,480,0.37,No Defect,Maintenance
176,2026-03-06,Evening,L2,M6,PRODUCT_C,4,1060,1062,1052,10,53,480,0.52,No Defect,Material Shortage
177,2026-03-05,Evening,L1,M5,PRODUCT_A,8,1045,1062,1052,10,75,480,0.58,Dimension Error,Material Shortage
178,2026-03-04,Evening,L1,M3,PRODUCT_C,4,1100,1062,1052,10,34,480,0.39,No Defect,Setup/Changeover
179,2026-03-03,Evening,L3,M2,PRODUCT_C,4,975,1062,1052,10,33,480,0.48,No Defect,Setup/Changeover
180,2026-03-02,Evening,L2,M5,PRODUCT_C,5,1103,1062,1052,10,46,480,0.63,Scratch,Machine Breakdown
181,2026-03-01,Evening,L3,M1,PRODUCT_B,6,981,1062,1052,10,119,480,0.4,No Defect,
182,2026-02-28,Evening,L3,M6,PRODUCT_B,5,1188,1062,1052,10,91,480,0.7,No Defect,Material Shortage
183,2026-02-27,Evening,L2,M5,PRODUCT_C,6,1011,1062,1052,10,66,480,0.55,Color Defect,Material Shortage
184,2026-02-26,Evening,L3,M1,PRODUCT_C,4,1154,1062,1052,10,81,480,0.67,No Defect,Maintenance
185,2026-02-25,Evening,L1,M5,PRODUCT_A,4,991,1062,1052,10,35,480,0.45,No Defect,Maintenance
186,2026-02-24,Evening,L3,M5,PRODUCT_C,6,1072,1062,1052,10,33,480,0.51,Surface Defect,Machine Breakdown
187,2026-02-23,Evening,L2,M1,PRODUCT_A,8,1011,1062,1052,10,51,480,0.69,No Defect,Material Shortage
188,2026-02-22,Morning,L3,M1,PRODUCT_B,6,1189,1062,1052,10,26,480,0.73,No Defect,Maintenance
189,2026-02-21,Evening,L1,M1,PRODUCT_A,8,971,1062,1052,10,82,480,0.59,Dimension Error,Material Shortage
190,2026-02-20,Evening,L1,M5,PRODUCT_A,5,1130,1062,1052,10,34,480,0.71,No Defect,Maintenance
191,2026-02-19,Evening,L1,M1,PRODUCT_B,7,1029,1062,1052,10,45,480,0.49,No Defect,Setup/Changeover
192,2026-02-18,Evening,L3,M3,PRODUCT_C,8,1152,1062,1052,10,40,480,0.74,Scratch,Material Shortage
193,2026-02-17,Evening,L2,M1,PRODUCT_A,8,966,1062,1052,10,32,480,0.51,No Defect,Machine Breakdown
194,2026-02-16,Evening,L2,M5,PRODUCT_C,7,1003,1062,1052,10,390,480,0.55,No Defect,Maintenance
195,2026-02-15,Evening,L3,M1,PRODUCT_C,5,905,1062,1052,10,10,480,0.78,Color Defect,Maintenance
196,2026-02-14,Evening,L1,M5,PRODUCT_B,6,1123,1062,1052,10,116,480,0.6,No Defect,Maintenance
197,2026-02-13,Evening,L1,M5,PRODUCT_B,5,1142,1062,1052,10,29,480,0.55,No Defect,Material Shortage
198,2026-02-12,Evening,L3,M2,PRODUCT_A,5,1038,1062,1052,10,77,480,0.65,Surface Defect,
199,2026-02-11,Evening,L2,M6,PRODUCT_A,8,1133,1062,1052,10,53,480,0.63,No Defect,Maintenance
200,2026-02-10,Evening,L2,M5,PRODUCT_B,7,1129,1062,1052,10,79,480,0.73,No Defect,Material Shortage
201,2026-02-09,Evening,L2,M6,PRODUCT_C,8,960,1062,1052,10,44,480,0.77,Dimension Error,Maintenance
202,2026-02-08,Evening,L1,M6,PRODUCT_A,7,1175,1062,1052,10,80,480,0.54,No Defect,Setup/Changeover
203,2026-02-07,Evening,L3,M2,PRODUCT_B,6,1014,1062,1052,10,44,480,0.54,No Defect,Maintenance
204,2026-02-06,Evening,L2,M5,PRODUCT_A,8,1123,1062,1052,10,26,480,0.59,Scratch,Setup/Changeover
205,2026-02-05,Evening,L2,M5,PRODUCT_A,7,1046,1062,1052,10,75,480,0.57,No Defect,Maintenance
206,2026-02-04,Evening,L3,M4,PRODUCT_C,8,1154,1062,1052,10,51,480,0.49,No Defect,Maintenance
207,2026-02-03,Evening,L1,M4,PRODUCT_A,6,996,1062,1052,10,50,480,0.73,Color Defect,Machine Breakdown
208,2026-02-02,Evening,L1,M4,PRODUCT_A,7,915,1062,1052,10,106,480,0.43,No Defect,Material Shortage
209,2026-02-01,Evening,L1,M3,PRODUCT_C,6,1002,1062,1052,10,63,480,0.53,No Defect,Maintenance
210,2026-01-31,Evening,L3,M5,PRODUCT_B,6,1028,1062,1052,10,81,480,0.78,Surface Defect,Maintenance
211,2026-01-30,Evening,L2,M4,PRODUCT_C,5,976,1062,1052,10,38,480,0.58,No Defect,Setup/Changeover
212,2026-01-29,Evening,L3,M2,PRODUCT_C,7,1111,1062,1052,10,26,480,0.64,No Defect,Setup/Changeover
213,2026-01-28,Evening,L3,M4,PRODUCT_A,4,1101,1062,1052,10,44,480,0.6,Dimension Error,Setup/Changeover
214,2026-01-27,Evening,L2,M1,PRODUCT_C,7,1152,1062,1052,10,53,480,0.54,No Defect,Maintenance
215,2026-01-26,Evening,L3,M4,PRODUCT_B,4,924,1062,1052,10,116,480,0.61,No Defect,Material Shortage
216,2026-01-25,Evening,L2,M1,PRODUCT_B,5,1004,1062,1052,10,110,480,0.57,Scratch,Material Shortage
217,2026-01-24,Evening,L2,M1,PRODUCT_A,8,1138,1062,1052,10,29,480,0.57,No Defect,Material Shortage
218,2026-01-23,Evening,L2,M6,PRODUCT_C,5,969,1062,1052,10,21,480,0.73,No Defect,Maintenance
219,2026-01-22,Evening,L3,M4,PRODUCT_B,4,1033,1062,1052,10,27,480,0.55,Color Defect,Maintenance
220,2026-01-21,Evening,L3,M5,PRODUCT_C,8,1050,1062,1052,10,20,480,0.79,No Defect,Material Shortage
221,2026-01-20,Evening,L1,M3,PRODUCT_B,8,1072,1062,1052,10,111,480,0.73,No Defect,Maintenance
222,2026-01-19,Evening,L3,M3,PRODUCT_B,4,1073,1062,1052,10,102,480,0.55,Surface Defect,Material Shortage
223,2026-01-18,Evening,L2,M3,PRODUCT_B,6,1163,1062,1052,10,100,480,0.55,No Defect,
224,2026-01-17,Evening,L3,M2,PRODUCT_C,4,1013,1062,1052,10,96,480,0.69,No Defect,Maintenance
225,2026-01-16,Evening,L3,M6,PRODUCT_A,8,927,1062,1052,10,93,480,0.57,Dimension Error,Maintenance
226,2026-01-15,Evening,L3,M1,PRODUCT_C,5,1160,1062,1052,10,30,480,0.49,No Defect,Machine Breakdown
227,2026-01-14,Evening,L1,M4,PRODUCT_C,6,1063,1062,1052,10,30,480,0.48,No Defect,Maintenance
228,2026-01-13,Evening,L1,M6,PRODUCT_A,5,908,1062,1052,10,30,480,0.72,Scratch,Setup/Changeover
